jaar,regio,regio_naam,gem_verkoopprijs
1995,NL01  ,NL01,93750
1996,NL01  ,NL01,102607
1997,NL01  ,NL01,113163
1998,NL01  ,NL01,124540
1999,NL01  ,NL01,144778
2000,NL01  ,NL01,172050
2001,NL01  ,NL01,188397
2002,NL01  ,NL01,199752
2003,NL01  ,NL01,204829
2004,NL01  ,NL01,212723
2005,NL01  ,NL01,222706
2006,NL01  ,NL01,235843
2007,NL01  ,NL01,248325
2008,NL01  ,NL01,254918
2009,NL01  ,NL01,238259
2010,NL01  ,NL01,239530
2011,NL01  ,NL01,240059
2012,NL01  ,NL01,226661
2013,NL01  ,NL01,213353
2014,NL01  ,NL01,222218
2015,NL01  ,NL01,230194
2016,NL01  ,NL01,243837
2017,NL01  ,NL01,263295
2018,NL01  ,NL01,287267
2019,NL01  ,NL01,307978
2020,NL01  ,NL01,334488
2021,NL01  ,NL01,386714
2022,NL01  ,NL01,428591
2023,NL01  ,NL01,416153
2024,NL01  ,NL01,450985
2025,NL01  ,NL01,479527
1995,PV23  ,PV23,83597
1996,PV23  ,PV23,90786
1997,PV23  ,PV23,102179
1998,PV23  ,PV23,110332
1999,PV23  ,PV23,128295
2000,PV23  ,PV23,152617
2001,PV23  ,PV23,170174
2002,PV23  ,PV23,178482
2003,PV23  ,PV23,185090
2004,PV23  ,PV23,191927
2005,PV23  ,PV23,198475
2006,PV23  ,PV23,206909
2007,PV23  ,PV23,215724
2008,PV23  ,PV23,219612
2009,PV23  ,PV23,212375
2010,PV23  ,PV23,211088
2011,PV23  ,PV23,208185
2012,PV23  ,PV23,202549
2013,PV23  ,PV23,189733
2014,PV23  ,PV23,197070
2015,PV23  ,PV23,198713
2016,PV23  ,PV23,210683
2017,PV23  ,PV23,227193
2018,PV23  ,PV23,244270
2019,PV23  ,PV23,260130
2020,PV23  ,PV23,282983
2021,PV23  ,PV23,325701
2022,PV23  ,PV23,365460
2023,PV23  ,PV23,365733
2024,PV23  ,PV23,393428
2025,PV23  ,PV23,420923
1995,GM1700,Twenterand,
1996,GM1700,Twenterand,
1997,GM1700,Twenterand,
1998,GM1700,Twenterand,
1999,GM1700,Twenterand,
2000,GM1700,Twenterand,
2001,GM1700,Twenterand,
2002,GM1700,Twenterand,191529
2003,GM1700,Twenterand,183397
2004,GM1700,Twenterand,196133
2005,GM1700,Twenterand,206476
2006,GM1700,Twenterand,224464
2007,GM1700,Twenterand,225192
2008,GM1700,Twenterand,239847
2009,GM1700,Twenterand,211473
2010,GM1700,Twenterand,209680
2011,GM1700,Twenterand,206908
2012,GM1700,Twenterand,196497
2013,GM1700,Twenterand,198645
2014,GM1700,Twenterand,187335
2015,GM1700,Twenterand,195482
2016,GM1700,Twenterand,201440
2017,GM1700,Twenterand,221020
2018,GM1700,Twenterand,237752
2019,GM1700,Twenterand,248957
2020,GM1700,Twenterand,273030
2021,GM1700,Twenterand,309662
2022,GM1700,Twenterand,348114
2023,GM1700,Twenterand,338159
2024,GM1700,Twenterand,362592
2025,GM1700,Twenterand,420039
1995,GM0186,Vriezenveen (oud),88969
1996,GM0186,Vriezenveen (oud),95891
1997,GM0186,Vriezenveen (oud),112334
1998,GM0186,Vriezenveen (oud),123860
1999,GM0186,Vriezenveen (oud),139834
2000,GM0186,Vriezenveen (oud),167109
2001,GM0186,Vriezenveen (oud),182916
2002,GM0186,Vriezenveen (oud),193768
2003,GM0186,Vriezenveen (oud),
2004,GM0186,Vriezenveen (oud),
2005,GM0186,Vriezenveen (oud),
2006,GM0186,Vriezenveen (oud),
2007,GM0186,Vriezenveen (oud),
2008,GM0186,Vriezenveen (oud),
2009,GM0186,Vriezenveen (oud),
2010,GM0186,Vriezenveen (oud),
2011,GM0186,Vriezenveen (oud),
2012,GM0186,Vriezenveen (oud),
2013,GM0186,Vriezenveen (oud),
2014,GM0186,Vriezenveen (oud),
2015,GM0186,Vriezenveen (oud),
2016,GM0186,Vriezenveen (oud),
2017,GM0186,Vriezenveen (oud),
2018,GM0186,Vriezenveen (oud),
2019,GM0186,Vriezenveen (oud),
2020,GM0186,Vriezenveen (oud),
2021,GM0186,Vriezenveen (oud),
2022,GM0186,Vriezenveen (oud),
2023,GM0186,Vriezenveen (oud),
2024,GM0186,Vriezenveen (oud),
2025,GM0186,Vriezenveen (oud),
